std_district_name,std_school_name,school_emis_code,std_type,std_gender,english_total,urdu_total,math_total,sci_total,isl_total,ethics_total,student_total,student_status
ATTOCK,A.M FOUNDATION SCHOOL FATEHJANG,pec-1007904,2,FEMALE,82,80,73,68,82,,385,PASS
ATTOCK,A.M FOUNDATION SCHOOL FATEHJANG,pec-1007904,2,FEMALE,64,65,68,67,83,,347,PASS
ATTOCK,A.M FOUNDATION SCHOOL FATEHJANG,pec-1007904,2,FEMALE,68,83,69,58,76,,354,PASS
ATTOCK,abbasi model elementry school amir khan ,pec-1008272,2,0,71,69,50,49,67,,306,PASS
ATTOCK,abbasi model elementry school amir khan ,pec-1008272,2,0,54,59,44,47,66,,270,PASS
ATTOCK,abbasi model elementry school amir khan ,pec-1008272,2,0,69,79,48,55,66,,317,PASS
ATTOCK,abbasi model elementry school amir khan ,pec-1008272,2,0,54,70,62,41,69,,296,PASS
ATTOCK,abbasi model elementry school amir khan ,pec-1008272,2,0,63,45,43,40,79,,270,PASS
ATTOCK,abbasi model elementry school amir khan ,pec-1008272,2,0,51,66,41,21,68,,247,PROMOTED
ATTOCK,abbasi model elementry school amir khan ,pec-1008272,2,0,49,79,76,62,77,,343,PASS
ATTOCK,abbasi model elementry school amir khan ,pec-1008272,2,0,61,72,55,56,78,,322,PASS
ATTOCK,abbasi model elementry school amir khan ,pec-1008272,2,0,34,66,40,19,52,,211,PROMOTED
ATTOCK,abbasi model elementry school amir khan ,pec-1008272,2,0,50,52,41,26,72,,241,PROMOTED
ATTOCK,abbasi model elementry school amir khan ,pec-1008272,2,0,57,57,57,51,63,,285,PASS
ATTOCK,abbasi model elementry school amir khan ,pec-1008272,2,FEMALE,47,79,75,62,82,,345,PASS
ATTOCK,abbasi model elementry school amir khan ,pec-1008272,2,FEMALE,50,69,56,45,72,,292,PASS
ATTOCK,abbasi model elementry school amir khan ,pec-1008272,2,FEMALE,65,74,71,53,87,,350,PASS
ATTOCK,abbasi model elementry school amir khan ,pec-1008272,2,FEMALE,53,69,56,56,61,,295,PASS
ATTOCK,abbasi model elementry school amir khan ,pec-1008272,2,FEMALE,51,77,65,55,77,,325,PASS
ATTOCK,abbasi model elementry school amir khan ,pec-1008272,2,FEMALE,54,67,65,27,69,,282,PROMOTED
ATTOCK,abbasi model elementry school amir khan ,pec-1008272,2,FEMALE,62,84,59,59,85,,349,PASS
ATTOCK,abbasi model elementry school amir khan ,pec-1008272,2,FEMALE,51,60,51,25,64,,251,PROMOTED
ATTOCK,abdali grammar school,pec-1017179,2,FEMALE,64,85,70,66,70,,355,PASS
ATTOCK,abdali grammar school,pec-1017179,2,FEMALE,66,74,51,73,78,,342,PASS
ATTOCK,abdali grammar school,pec-1017179,2,0,53,73,74,52,68,,320,PASS
ATTOCK,abdali grammar school,pec-1017179,2,0,62,73,52,60,66,,313,PASS
ATTOCK,abdalian elementry school,pec-1031026,2,FEMALE,53,75,50,46,75,,299,PASS
ATTOCK,abdalian elementry school,pec-1031026,2,FEMALE,56,71,36,43,78,,284,PASS
ATTOCK,abdullah public ele school ,pec-1027073,2,FEMALE,64,89,86,49,77,,365,PASS
ATTOCK,abdullah public ele school ,pec-1027073,2,FEMALE,79,81,45,41,71,,317,PASS
ATTOCK,abdullah public ele school ,pec-1027073,2,FEMALE,42,57,37,36,67,,239,PASS
ATTOCK,abdullah public ele school ,pec-1027073,2,FEMALE,80,71,82,49,66,,348,PASS
ATTOCK,abdullah public ele school ,pec-1027073,2,FEMALE,67,60,51,43,66,,287,PASS
ATTOCK,abdullah public ele school ,pec-1027073,2,FEMALE,58,67,47,48,73,,293,PASS
ATTOCK,abdullah public ele school ,pec-1027073,2,FEMALE,29,65,19,40,68,,221,FAIL
ATTOCK,aftab public elementary school,pec-1044172,2,FEMALE,78,86,37,66,64,,331,PASS
ATTOCK,aftab public elementary school,pec-1044172,2,FEMALE,65,68,56,53,87,,329,PASS
ATTOCK,aftab public elementary school,pec-1044172,2,FEMALE,78,65,61,60,81,,345,PASS
ATTOCK,aftab public elementary school,pec-1044172,2,FEMALE,74,90,70,67,91,,392,PASS
ATTOCK,aftab public elementary school,pec-1044172,2,FEMALE,84,92,44,60,80,,360,PASS
ATTOCK,aftab public elementary school,pec-1044172,2,FEMALE,55,87,38,57,92,,329,PASS
ATTOCK,aftab public elementary school,pec-1044172,2,FEMALE,53,54,30,47,73,,257,PASS WITH GRACE MARKS
ATTOCK,aftab public elementary school,pec-1044172,2,FEMALE,82,83,81,66,90,,402,PASS
ATTOCK,aftab public elementary school,pec-1044208,2,0,78,82,72,59,88,,379,PASS
ATTOCK,aftab public elementary school,pec-1044208,2,0,73,82,59,39,60,,313,PASS
ATTOCK,aftab public elementary school,pec-1044208,2,0,72,66,28,33,71,,270,PASS WITH GRACE MARKS
ATTOCK,aftab public elementary school,pec-1044208,2,0,60,52,46,43,47,,248,PASS
ATTOCK,aftab public elementary school,pec-1044208,2,0,84,71,29,46,74,,304,PASS WITH GRACE MARKS
ATTOCK,aftab public elementary school,pec-1044208,2,0,83,66,82,70,87,,388,PASS
ATTOCK,aftab public elementary school,pec-1044172,2,FEMALE,64,67,37,38,64,,270,PASS
ATTOCK,aftab public elementary school,pec-1044208,2,0,67,75,57,53,87,,339,PASS
ATTOCK,aftab public elementary school,pec-1044208,2,0,82,90,66,62,83,,383,PASS
ATTOCK,aftab public elementary school,pec-1044208,2,0,77,92,67,52,90,,378,PASS
ATTOCK,AHMED PUBLIC ELEMENTARY SCHOOL DHOKE SAYEDAN,pec-1022812,2,0,67,66,34,46,61,,274,PASS
ATTOCK,AHMED PUBLIC ELEMENTARY SCHOOL DHOKE SAYEDAN,pec-1022812,2,0,46,64,37,34,73,,254,PASS
ATTOCK,AHMED PUBLIC ELEMENTARY SCHOOL DHOKE SAYEDAN,pec-1022812,2,FEMALE,37,76,29,45,71,,258,PASS WITH GRACE MARKS
ATTOCK,AHMED PUBLIC ELEMENTARY SCHOOL DHOKE SAYEDAN,pec-1022812,2,FEMALE,32,73,30,38,62,,235,FAIL
ATTOCK,AHMED PUBLIC ELEMENTARY SCHOOL DHOKE SAYEDAN,pec-1022812,2,FEMALE,29,55,49,46,53,,232,PASS WITH GRACE MARKS
ATTOCK,AHMED PUBLIC ELEMENTARY SCHOOL DHOKE SAYEDAN,pec-1022812,2,FEMALE,48,70,22,33,68,,241,PROMOTED
ATTOCK,AHMED PUBLIC ELEMENTARY SCHOOL DHOKE SAYEDAN,pec-1022812,2,FEMALE,66,75,43,42,71,,297,PASS
ATTOCK,AHSAN MEMORIAL PUBLIC SCHOOL KAMRA KALLAN ATTOCK,pec-1020710,2,0,34,63,30,22,52,,201,FAIL
